x;y;min_y;max_y
9;4;3;5
10;4;3;5
11;4;3;5
12;4;3;5
13;4;3;5
14;4;3;5
15;4;3;5
16;4;3;5
17;4;4;5
18;4;4;5
19;4;4;5
20;4;4;5
21;4;4;5
22;4;4;5
23;4;4;5
24;4;4;5
25;4;4;5
26;4;4;5
27;4;4;5
28;4;4;5
29;4;4;5
30;4;4;5
31;4;4;5
32;4;4;5
33;4;4;5
34;4;4;5
35;4;4;5
36;4;4;5
37;4;4;5
38;4;4;5
39;4;4;5
40;4;4;5
41;4;4;5
42;4;4;5
43;4;4;5
44;4;4;5
45;4;4;5
46;4;4;5
47;4;4;5
48;4;4;5
49;4;4;5
50;4;4;5
51;4;4;5
52;4;4;5
53;4;4;5
54;4;4;5
55;5;4;5
56;4;4;5
57;4;4;5
58;4;4;5
59;4;4;5
60;4;4;5
61;4;4;5
62;4;4;5
63;4;4;5
64;4;4;5
65;4;4;5
66;4;4;5
67;4;4;5
68;4;4;5
69;4;4;5
70;4;4;5
71;4;4;5
72;5;4;5
73;4.5;4;5
74;5;4;5
75;4;4;5
76;4;4;5
77;4;4;5
78;4;4;5
79;4;4;5
80;5;4;5
81;5;4;5
82;5;4;5
83;4.5;4;5
84;4;4;5
85;4;4;5
86;5;4;5
87;5;4;5
88;4;4;5
89;5;4;5
90;5;4;5
91;5;4;5
92;5;4;5
93;5;4;5
94;5;4;5
95;5;4;5
96;5;4;5
97;5;4;5
98;5;4;5
99;5;4;5
100;5;4;5
